,County,Latitude,Longitude
1,"Adair County, Kentucky",37.118701,-85.28537505
2,"Allen County, Kentucky",36.78216045,-86.1840325
3,"Anderson County, Kentucky",38.00698250000001,-84.98356444999999
4,"Ballard County, Kentucky",37.072828900000005,-88.99950145
5,"Barren County, Kentucky",36.94628255,-85.95782195000001
6,"Bath County, Kentucky",38.147638900000004,-83.721639
7,"Bell County, Kentucky",36.769149,-83.70818299999999
8,"Boone County, Kentucky",38.96237895,-84.74775
9,"Bourbon County, Kentucky",38.219343949999995,-84.20598045
10,"Boyd County, Kentucky",38.37028495,-82.69474405
11,"Boyle County, Kentucky",37.624677,-84.84562695
12,"Bracken County, Kentucky",38.68859505,-84.07000245
13,"Breathitt County, Kentucky",37.5150249,-83.26431945
14,"Breckinridge County, Kentucky",37.802295050000005,-86.41491045
15,"Bullitt County, Kentucky",37.962005000000005,-85.6835294
16,"Butler County, Kentucky",37.197475350000005,-86.6719864
17,"Caldwell County, Kentucky",37.16476805,-87.88812905
18,"Calloway County, Kentucky",36.623936900000004,-88.260886
19,"Campbell County, Kentucky",38.963714499999995,-84.36901044999999
20,"Carlisle County, Kentucky",36.86293795,-88.99612395
21,"Carroll County, Kentucky",38.670908499999996,-85.13367249999999
22,"Carter County, Kentucky",38.33642495,-83.05654355
23,"Casey County, Kentucky",37.32679805,-84.93582585000001
24,"Christian County, Kentucky",36.89821995,-87.4964541
25,"Clark County, Kentucky",37.96834845,-84.15762089999998
26,"Clay County, Kentucky",37.1477505,-83.73744595
27,"Clinton County, Kentucky",36.75170195,-85.1353544
28,"Crittenden County, Kentucky",37.336528,-88.07916399999999
29,"Cumberland County, Kentucky",36.77830845,-85.40852534999999
30,"Daviess County, Kentucky",37.74559195,-87.1130539
31,"Edmonson County, Kentucky",37.1970745,-86.2590814
32,"Elliott County, Kentucky",38.1316749,-83.07969394999999
33,"Estill County, Kentucky",37.69787445,-83.9243544
34,"Fayette County, Kentucky",38.02832995,-84.47156505
35,"Fleming County, Kentucky",38.348092550000004,-83.718624
36,"Floyd County, Kentucky",37.52084045,-82.754802
37,"Franklin County, Kentucky",38.23404345,-84.87505545
38,"Fulton County, Kentucky",36.575182850000004,-89.20312095
39,"Gallatin County, Kentucky",38.76077545,-84.84180649999999
40,"Garrard County, Kentucky",37.65139395,-84.54693405
41,"Grant County, Kentucky",38.63817895,-84.631023
42,"Graves County, Kentucky",36.72370295,-88.6519605
43,"Grayson County, Kentucky",37.4720515,-86.34395795
44,"Green County, Kentucky",37.2907724,-85.525111
45,"Greenup County, Kentucky",38.565211500000004,-82.91659805
46,"Hancock County, Kentucky",37.82721295,-86.80475394999999
47,"Hardin County, Kentucky",37.723498500000005,-85.97679695
48,"Harlan County, Kentucky",36.842977950000005,-83.1834399
49,"Harrison County, Kentucky",38.43008505,-84.32990345000002
50,"Hart County, Kentucky",37.2991169,-85.90606450000001
51,"Henderson County, Kentucky",37.80712545,-87.5990519
52,"Henry County, Kentucky",38.46625845,-85.1066219
53,"Hickman County, Kentucky",36.65005305,-89.007188
54,"Hopkins County, Kentucky",37.337889450000006,-87.5735875
55,"Jackson County, Kentucky",37.4160335,-83.993659
56,"Jefferson County, Kentucky",38.188805,-85.6767705
57,"Jessamine County, Kentucky",37.866161500000004,-84.5794555
58,"Johnson County, Kentucky",37.8518545,-82.8086529
59,"Kenton County, Kentucky",38.94502855,-84.52053550000001
60,"Knott County, Kentucky",37.3493214,-82.922687
61,"Knox County, Kentucky",36.8711715,-83.83033245
62,"Larue County, Kentucky",37.5771019,-85.68033789999998
63,"Laurel County, Kentucky",37.13756,-84.11540235
64,"Lawrence County, Kentucky",38.07412695,-82.74466244999999
65,"Lee County, Kentucky",37.603492,-83.71394889999999
66,"Leslie County, Kentucky",37.10197995,-83.35861695
67,"Letcher County, Kentucky",37.11383145,-82.85966095
68,"Lewis County, Kentucky",38.5219005,-83.3352094
69,"Lincoln County, Kentucky",37.43921,-84.65337545
70,"Livingston County, Kentucky",37.20292045,-88.3767354
71,"Logan County, Kentucky",36.85844845,-86.83613505
72,"Lyon County, Kentucky",37.023368000000005,-88.05814699999999
73,"McCracken County, Kentucky",37.08555155,-88.712397
74,"McCreary County, Kentucky",36.77775904999999,-84.50241894999999
75,"McLean County, Kentucky",37.532004400000005,-87.26893340000001
76,"Madison County, Kentucky",37.71647995,-84.2996755
77,"Magoffin County, Kentucky",37.69063595,-83.074592
78,"Marion County, Kentucky",37.57137195,-85.27572054999999
79,"Marshall County, Kentucky",36.905148,-88.29827445000001
80,"Martin County, Kentucky",37.8156485,-82.4927525
81,"Mason County, Kentucky",38.612213100000005,-83.8080614
82,"Meade County, Kentucky",37.99879695,-86.23345695
83,"Menifee County, Kentucky",37.93860495,-83.60553804999999
84,"Mercer County, Kentucky",37.82421455,-84.85987349999999
85,"Metcalfe County, Kentucky",37.000102999999996,-85.60919645000001
86,"Monroe County, Kentucky",36.7284885,-85.70703705
87,"Montgomery County, Kentucky",38.046283450000004,-83.91842505
88,"Morgan County, Kentucky",37.91340945,-83.2336819
89,"Muhlenberg County, Kentucky",37.228188450000005,-87.13497145
90,"Nelson County, Kentucky",37.75769245,-85.4465509
91,"Nicholas County, Kentucky",38.326437000000006,-84.01386955
92,"Ohio County, Kentucky",37.47502949999999,-86.8570304
93,"Oldham County, Kentucky",38.40461345,-85.46072554999999
94,"Owen County, Kentucky",38.53159655,-84.82837255
95,"Owsley County, Kentucky",37.398725,-83.70488245000001
96,"Pendleton County, Kentucky",38.702048399999995,-84.3635355
97,"Perry County, Kentucky",37.21783685,-83.27698995
98,"Pike County, Kentucky",37.470575999999994,-82.34883685
99,"Powell County, Kentucky",37.82504445,-83.82927699999999
